bowler,venue,batting_team,dream 11 score,Matches_Played,avg_drm11_score,Economy,strike_rate,bowlerOppositionWiseMatches_Played,bowlerOppositionWiseavg_drm11_score,bowlerOppositionWiseEconomy,bowlerOppositionWisestrike_rate,bowlerVenueMatches_Played,bowlerVenueavg_drm11_score,bowlerVenueEconomy,bowlerVenuestrike_rate,Venue_Matches_Played,Venue_Avg_Batsmen_Strike_Rate,Venue_Avg_Batsmen_Average,Venue_Avg_Bowler_Economy,Venue_Avg_Bowler_Average,Venue_dream11
Yuvraj Singh,Punjab Cricket Association Stadium,Kings XI Punjab,24,73,37.57534246575342,7.238095238095238,22.615384615384617,6,21.5,8.785714285714286,56.0,12,23.83333333333333,8.048780487804878,61.5,61,130.76126001657917,1.3076126001657915,7.84567560099475,1.3076126001657915,323.4918032786885
A Singh,Sawai Mansingh Stadium,Chennai Super Kings,71,23,78.04347826086956,7.444444444444445,15.67741935483871,3,60.66666666666666,9.761194029850746,33.5,10,70.6,7.305555555555555,21.6,52,121.97605278162418,1.2197605278162418,7.318563166897451,1.2197605278162418,288.86538461538464
AL Menaria,Sawai Mansingh Stadium,Chennai Super Kings,26,12,24.416666666666668,7.433628318584071,37.66666666666666,3,21.33333333333333,7.125,35.0,6,30.33333333333333,7.542857142857143,35.0,52,121.97605278162418,1.2197605278162418,7.318563166897451,1.2197605278162418,288.86538461538464
DE Bollinger,Sawai Mansingh Stadium,Rajasthan Royals,129,27,87.88888888888889,6.63,13.953488372093023,4,90.0,5.346534653465347,16.833333333333332,1,129.0,4.8,8.333333333333334,52,121.97605278162418,1.2197605278162418,7.318563166897451,1.2197605278162418,288.86538461538464
DJ Bravo,Sawai Mansingh Stadium,Rajasthan Royals,75,158,75.67721518987342,7.605582524271845,15.92270531400966,13,74.6923076923077,8.4,15.882352941176473,4,67.5,9.55813953488372,21.5,52,121.97605278162418,1.2197605278162418,7.318563166897451,1.2197605278162418,288.86538461538464
J Botha,Sawai Mansingh Stadium,Chennai Super Kings,73,34,61.14705882352941,6.609308885754584,26.25925925925926,4,54.5,6.209302325581396,43.0,12,63.083333333333336,6.828358208955224,29.77777777777778,52,121.97605278162418,1.2197605278162418,7.318563166897451,1.2197605278162418,288.86538461538464
JA Morkel,Sawai Mansingh Stadium,Rajasthan Royals,63,87,69.95402298850574,7.490868843386829,18.822916666666668,11,78.9090909090909,7.5,14.25,3,42.333333333333336,5.0,48.0,52,121.97605278162418,1.2197605278162418,7.318563166897451,1.2197605278162418,288.86538461538464
R Ashwin,Sawai Mansingh Stadium,Rajasthan Royals,123,194,70.53092783505154,6.562197092084007,22.925925925925927,17,73.05882352941177,6.44141689373297,18.35,10,65.9,7.333333333333333,18.0,52,121.97605278162418,1.2197605278162418,7.318563166897451,1.2197605278162418,288.86538461538464
SB Jakati,Sawai Mansingh Stadium,Rajasthan Royals,50,57,60.3859649122807,7.7493188010899186,22.02,6,70.5,7.6875,18.285714285714285,1,50.0,6.96,26.0,52,121.97605278162418,1.2197605278162418,7.318563166897451,1.2197605278162418,288.86538461538464
SK Raina,Sawai Mansingh Stadium,Rajasthan Royals,62,69,37.971014492753625,7.070967741935484,31.0,8,40.75,6.578313253012048,13.833333333333334,2,39.0,5.454545454545454,5.5,52,121.97605278162418,1.2197605278162418,7.318563166897451,1.2197605278162418,288.86538461538464
SK Trivedi,Sawai Mansingh Stadium,Chennai Super Kings,18,75,66.86666666666666,7.090558766859345,21.328767123287676,11,49.90909090909091,8.147058823529411,40.8,32,77.03125,6.815028901734104,16.878048780487806,52,121.97605278162418,1.2197605278162418,7.318563166897451,1.2197605278162418,288.86538461538464
SK Warne,Sawai Mansingh Stadium,Chennai Super Kings,77,54,74.37037037037037,6.9076042518397385,20.383333333333333,9,69.77777777777777,7.368932038834951,25.75,17,77.82352941176471,6.89002557544757,18.61904761904762,52,121.97605278162418,1.2197605278162418,7.318563166897451,1.2197605278162418,288.86538461538464
SR Watson,Sawai Mansingh Stadium,Chennai Super Kings,50,105,68.08571428571429,7.218530650444548,19.97196261682243,11,60.54545454545455,7.830985915492958,26.625,26,66.3076923076923,6.431734317343174,24.63636363636364,52,121.97605278162418,1.2197605278162418,7.318563166897451,1.2197605278162418,288.86538461538464
A Mishra,Rajiv Gandhi International Stadium,Pune Warriors,65,161,72.14906832298136,7.071678321678322,18.857142857142858,6,88.66666666666667,6.0458015267175576,13.1,27,77.77777777777777,6.991816693944354,17.970588235294116,71,123.3528334219701,1.233528334219701,7.401170005318206,1.233528334219701,297.0
B Kumar,Rajiv Gandhi International Stadium,Deccan Chargers,36,160,77.6125,6.847421009991899,20.125,4,57.25,6.923076923076923,26.0,43,76.32558139534883,7.370919881305638,21.0625,71,123.3528334219701,1.233528334219701,7.401170005318206,1.233528334219701,297.0
DT Christian,Rajiv Gandhi International Stadium,Pune Warriors,98,49,58.69387755102041,7.496746203904555,23.05,2,101.0,5.351351351351352,9.25,10,64.3,7.752212389380531,32.285714285714285,71,123.3528334219701,1.233528334219701,7.401170005318206,1.233528334219701,297.0
DW Steyn,Rajiv Gandhi International Stadium,Pune Warriors,50,95,79.67368421052632,6.326029798422437,21.73333333333333,5,74.2,6.934426229508197,24.4,24,80.125,5.978798586572438,19.517241379310345,71,123.3528334219701,1.233528334219701,7.401170005318206,1.233528334219701,297.0
I Sharma,Rajiv Gandhi International Stadium,Pune Warriors,36,101,68.01980198019803,7.420560747663552,26.75,4,48.75,6.141176470588236,85.0,19,68.05263157894737,6.522321428571429,34.46153846153846,71,123.3528334219701,1.233528334219701,7.401170005318206,1.233528334219701,297.0
JP Duminy,Rajiv Gandhi International Stadium,Pune Warriors,24,49,40.795918367346935,6.8644793152639085,30.47826086956522,4,38.25,8.0625,64.0,5,23.2,8.482758620689655,63.0,71,123.3528334219701,1.233528334219701,7.401170005318206,1.233528334219701,297.0
MR Marsh,Rajiv Gandhi International Stadium,Deccan Chargers,154,31,65.80645161290323,7.402597402597403,14.97222222222222,2,96.0,7.534883720930233,10.75,3,98.66666666666669,5.311475409836065,10.166666666666666,71,123.3528334219701,1.233528334219701,7.401170005318206,1.233528334219701,297.0
PP Ojha,Rajiv Gandhi International Stadium,Pune Warriors,65,90,71.23333333333333,6.974807197943445,19.646464646464647,6,75.66666666666667,6.829268292682927,15.375,11,53.0,7.221719457013575,44.2,71,123.3528334219701,1.233528334219701,7.401170005318206,1.233528334219701,297.0
R Sharma,Rajiv Gandhi International Stadium,Deccan Chargers,71,44,67.5909090909091,6.924064171122994,22.261904761904763,3,80.0,7.1506849315068495,18.25,2,71.0,5.625,24.0,71,123.3528334219701,1.233528334219701,7.401170005318206,1.233528334219701,297.0
SB Wagh,Rajiv Gandhi International Stadium,Deccan Chargers,12,8,44.875,7.277777777777778,21.6,1,12.0,8.0,7.0,1,12.0,8.0,7.0,71,123.3528334219701,1.233528334219701,7.401170005318206,1.233528334219701,297.0
WD Parnell,Rajiv Gandhi International Stadium,Deccan Chargers,75,33,78.12121212121212,6.9736147757255935,18.95,3,76.33333333333333,6.833333333333333,24.0,2,61.5,8.816326530612244,49.0,71,123.3528334219701,1.233528334219701,7.401170005318206,1.233528334219701,297.0
Yuvraj Singh,Rajiv Gandhi International Stadium,Deccan Chargers,102,73,37.57534246575342,7.238095238095238,22.615384615384617,7,69.42857142857143,6.45,12.0,6,47.5,5.178082191780822,14.6,71,123.3528334219701,1.233528334219701,7.401170005318206,1.233528334219701,297.0
BA Bhatt,Punjab Cricket Association Stadium,Mumbai Indians,140,15,62.2,7.702970297029703,23.307692307692307,4,68.5,7.976470588235294,21.25,6,71.83333333333333,8.285714285714286,18.0,61,130.76126001657917,1.3076126001657915,7.84567560099475,1.3076126001657915,323.4918032786885
Bipul Sharma,Punjab Cricket Association Stadium,Mumbai Indians,76,28,50.07142857142857,7.665137614678899,19.818181818181817,3,76.0,6.9523809523809526,15.75,3,81.66666666666667,5.806451612903226,12.4,61,130.76126001657917,1.3076126001657915,7.84567560099475,1.3076126001657915,323.4918032786885
DS Kulkarni,Punjab Cricket Association Stadium,Kings XI Punjab,26,92,67.83695652173913,7.560767590618337,20.615384615384617,11,68.9090909090909,8.275862068965518,19.33333333333333,4,75.75,7.955056179775281,17.8,61,130.76126001657917,1.3076126001657915,7.84567560099475,1.3076126001657915,323.4918032786885
Harbhajan Singh,Punjab Cricket Association Stadium,Kings XI Punjab,36,160,70.10625,6.741418764302059,21.714285714285715,22,72.63636363636364,7.229508196721311,20.33333333333333,8,74.625,8.387096774193548,20.666666666666668,61,130.76126001657917,1.3076126001657915,7.84567560099475,1.3076126001657915,323.4918032786885
KA Pollard,Punjab Cricket Association Stadium,Kings XI Punjab,24,107,48.83177570093458,7.85750315258512,19.580246913580247,13,34.53846153846154,8.313253012048193,33.2,5,25.8,8.50909090909091,55.0,61,130.76126001657917,1.3076126001657915,7.84567560099475,1.3076126001657915,323.4918032786885
MM Patel,Punjab Cricket Association Stadium,Kings XI Punjab,189,63,80.31746031746032,7.250361794500724,16.853658536585368,8,93.375,7.907692307692308,15.0,4,99.75,8.571428571428571,14.0,61,130.76126001657917,1.3076126001657915,7.84567560099475,1.3076126001657915,323.4918032786885
P Kumar,Punjab Cricket Association Stadium,Mumbai Indians,116,119,69.36134453781513,7.06712172923777,25.852941176470587,16,68.3125,6.423529411764706,26.153846153846157,21,72.95238095238095,6.357852882703777,31.4375,61,130.76126001657917,1.3076126001657915,7.84567560099475,1.3076126001657915,323.4918032786885
RG Sharma,Punjab Cricket Association Stadium,Kings XI Punjab,26,32,34.25,7.530085959885387,21.8125,7,40.285714285714285,7.227272727272727,22.0,2,50.5,6.789473684210527,38.0,61,130.76126001657917,1.3076126001657915,7.84567560099475,1.3076126001657915,323.4918032786885
RJ Harris,Punjab Cricket Association Stadium,Mumbai Indians,49,37,81.8108108108108,6.922543352601156,18.404255319148938,4,67.0,7.928571428571429,21.0,7,75.71428571428571,7.0875,20.0,61,130.76126001657917,1.3076126001657915,7.84567560099475,1.3076126001657915,323.4918032786885
SJ Srivastava,Punjab Cricket Association Stadium,Mumbai Indians,51,14,73.78571428571429,8.019607843137255,20.4,2,71.0,6.0,20.0,5,77.4,7.659574468085107,13.428571428571429,61,130.76126001657917,1.3076126001657915,7.84567560099475,1.3076126001657915,323.4918032786885
SL Malinga,Punjab Cricket Association Stadium,Kings XI Punjab,135,122,91.24590163934428,6.443846671149967,15.819148936170214,14,101.78571428571428,7.125,13.037037037037036,4,107.25,7.225806451612903,10.333333333333334,61,130.76126001657917,1.3076126001657915,7.84567560099475,1.3076126001657915,323.4918032786885
TL Suman,Punjab Cricket Association Stadium,Kings XI Punjab,36,11,42.45454545454545,7.697368421052632,21.714285714285715,4,50.75,7.253731343283582,22.33333333333333,1,36.0,7.666666666666667,19.0,61,130.76126001657917,1.3076126001657915,7.84567560099475,1.3076126001657915,323.4918032786885
AA Kazi,Sawai Mansingh Stadium,Rajasthan Royals,51,1,51.0,9.23076923076923,13.0,1,51.0,9.23076923076923,13.0,1,51.0,9.23076923076923,13.0,52,121.97605278162418,1.2197605278162418,7.318563166897451,1.2197605278162418,288.86538461538464
