iter	MAE
0	28.64372425
1	28.51915405
2	28.38473052
3	28.25163383
4	28.12942347
5	28.00945967
6	27.88463044
7	27.75854387
8	27.62868111
9	27.50684761
10	27.3884241
11	27.26744754
12	27.16590775
13	27.05159017
14	26.92965775
15	26.82934094
16	26.71884174
17	26.6119513
18	26.508763
19	26.40367976
20	26.2995667
21	26.19385459
22	26.09573509
23	25.98958794
24	25.88173213
25	25.78752162
26	25.69311331
27	25.59209932
28	25.49985019
29	25.40985403
30	25.3172805
31	25.22680198
32	25.12470182
33	25.02794203
34	24.93510147
35	24.84427642
36	24.75105713
37	24.67198972
38	24.58369861
39	24.49944272
40	24.41484658
41	24.32367941
42	24.24228584
43	24.16157859
44	24.07884375
45	23.99863123
46	23.92821456
47	23.85736157
48	23.78388421
49	23.70354941
50	23.63263982
51	23.56118047
52	23.49360169
53	23.42306828
54	23.35874406
55	23.28862325
56	23.21797502
57	23.15155037
58	23.09176797
59	23.02392816
60	22.96076273
61	22.89900449
62	22.83944649
63	22.78095016
64	22.73037392
65	22.68000148
66	22.62183974
67	22.56529421
68	22.51246372
69	22.46318445
70	22.40963993
71	22.35440075
72	22.29600718
73	22.25207684
74	22.19575874
75	22.14740702
76	22.09782459
77	22.05653753
78	22.00963936
79	21.9575551
80	21.90634065
81	21.8548079
82	21.8056975
83	21.75769939
84	21.71395428
85	21.66434204
86	21.62023637
87	21.57977351
88	21.53091487
89	21.48688416
90	21.44465004
91	21.39712465
92	21.35126677
93	21.30589198
94	21.26006518
95	21.21933987
96	21.18323853
97	21.14267559
98	21.10346395
99	21.06364482
100	21.02113106
101	20.98209453
102	20.94288949
103	20.90528945
104	20.86584067
105	20.8277642
106	20.79798647
107	20.76418913
108	20.72869594
109	20.6929153
110	20.65930772
111	20.62381066
112	20.58936194
113	20.55253921
114	20.51897855
115	20.48445923
116	20.45220684
117	20.42065913
118	20.38900382
119	20.36188907
120	20.32920191
121	20.29784184
122	20.26836949
123	20.23793066
124	20.20934103
125	20.18107342
126	20.15154111
127	20.12273923
128	20.09274856
129	20.06058547
130	20.03160845
131	20.00249118
132	19.97756971
133	19.95040345
134	19.92041111
135	19.89614962
136	19.87247501
137	19.84939085
138	19.8208845
139	19.79567528
140	19.76812081
141	19.74348826
142	19.71792749
143	19.69707453
144	19.67443276
145	19.6530609
146	19.62733474
147	19.60066143
148	19.57631479
149	19.5551602
150	19.53002074
151	19.51196801
152	19.4896966
153	19.46826471
154	19.44733736
155	19.42651786
156	19.40350618
157	19.38120708
158	19.3603143
159	19.34085954
160	19.31931915
161	19.29714125
162	19.27650555
163	19.25611371
164	19.23550164
165	19.21646908
166	19.1937109
167	19.17250257
168	19.15126153
169	19.13199558
170	19.11274335
171	19.09647428
172	19.07896185
173	19.06276694
174	19.04587194
175	19.03360544
176	19.01708812
177	18.99991195
178	18.98206141
179	18.96340467
180	18.94641521
181	18.9275544
182	18.91320657
183	18.89645477
184	18.88187041
185	18.867017
186	18.85218017
187	18.83947669
188	18.82437703
189	18.80814424
190	18.79675446
191	18.78288418
192	18.76883919
193	18.75395876
194	18.73648507
195	18.72188396
196	18.70706974
197	18.69393722
198	18.67898658
199	18.66465222
200	18.65427772
201	18.64006828
202	18.62723957
203	18.61519604
