bowler,venue,batting_team,dream 11 score,Matches_Played,avg_drm11_score,Economy,strike_rate,bowlerOppositionWiseMatches_Played,bowlerOppositionWiseavg_drm11_score,bowlerOppositionWiseEconomy,bowlerOppositionWisestrike_rate,bowlerVenueMatches_Played,bowlerVenueavg_drm11_score,bowlerVenueEconomy,bowlerVenuestrike_rate,Venue_Matches_Played,Venue_Avg_Batsmen_Strike_Rate,Venue_Avg_Batsmen_Average,Venue_Avg_Bowler_Economy,Venue_Avg_Bowler_Average,Venue_dream11
JA Morkel,De Beers Diamond Oval,Rajasthan Royals,33,87,31.770114942528732,7.490868843386829,18.822916666666668,11,39.81818181818182,7.5,14.25,1,33.0,7.263157894736842,19.0,3.0,118.1818181818182,22.0,7.090909090909091,22.0,260.6666666666667
JDP Oram,De Beers Diamond Oval,Rajasthan Royals,0,14,23.214285714285715,8.40983606557377,18.76923076923077,2,25.0,7.0,15.0,1,0.0,8.0,7.0,3.0,118.1818181818182,22.0,7.090909090909091,22.0,260.6666666666667
L Balaji,De Beers Diamond Oval,Rajasthan Royals,31,73,34.26027397260274,7.440914866581957,18.51764705882353,9,29.444444444444443,7.921182266009852,22.55555555555556,1,31.0,4.333333333333333,18.0,3.0,118.1818181818182,22.0,7.090909090909091,22.0,260.6666666666667
M Muralitharan,De Beers Diamond Oval,Rajasthan Royals,66,66,31.954545454545453,6.2314990512333965,23.59701492537313,9,20.666666666666668,7.7889908256880735,36.333333333333336,1,66.0,5.5,12.0,3.0,118.1818181818182,22.0,7.090909090909091,22.0,260.6666666666667
RA Jadeja,De Beers Diamond Oval,Chennai Super Kings,0,197,24.279187817258883,7.3313019390581715,22.422360248447205,3,14.666666666666666,7.066666666666666,22.5,2,33.0,6.315789473684211,19.0,3.0,118.1818181818182,22.0,7.090909090909091,22.0,260.6666666666667
S Tyagi,De Beers Diamond Oval,Rajasthan Royals,0,14,14.0,7.745454545454545,36.66666666666666,3,6.0,7.294117647058823,54.0,1,0.0,6.0,13.0,3.0,118.1818181818182,22.0,7.090909090909091,22.0,260.6666666666667
SB Jakati,De Beers Diamond Oval,Rajasthan Royals,58,57,25.43859649122807,7.7493188010899186,22.02,6,30.83333333333333,7.6875,18.285714285714285,1,58.0,8.16,12.5,3.0,118.1818181818182,22.0,7.090909090909091,22.0,260.6666666666667
SK Raina,De Beers Diamond Oval,Rajasthan Royals,25,69,12.376811594202898,7.070967741935484,31.0,8,22.25,6.578313253012048,13.833333333333334,1,25.0,7.0,18.0,3.0,118.1818181818182,22.0,7.090909090909091,22.0,260.6666666666667
SK Trivedi,De Beers Diamond Oval,Chennai Super Kings,33,75,27.986666666666668,7.090558766859345,21.328767123287676,11,13.727272727272728,8.147058823529411,40.8,2,29.0,8.91891891891892,18.5,3.0,118.1818181818182,22.0,7.090909090909091,22.0,260.6666666666667
SK Warne,De Beers Diamond Oval,Chennai Super Kings,51,54,33.81481481481482,6.9076042518397385,20.383333333333333,9,28.444444444444443,7.368932038834951,25.75,2,38.0,6.823529411764706,25.5,3.0,118.1818181818182,22.0,7.090909090909091,22.0,260.6666666666667
